name	ratings	date	helpful	comment	comment_len
정신호	5	2019-06-29	0	처음시켜본 배민 할인쿠폰 혜택으로 저렴하게 이용할수 있어서 감사합니다~	39
서동훈	5	2019-03-10	0	음식 시킬 수 있는 곳을 알아보기 편하게 되어있어서 좋네요^^	34
정민호	5	2019-06-12	0	배달 중간중간 확인시켜 주는게 정말 짱인듯..ㅋ	26
정종명	5	2019-02-03	0	배달 음식점이 많이 등록되어서 편리했어요.	23
조성은	5	2019-07-22	0	타 배달어플에 비해 이해도도높구 아주 만족스럽습니당^^	30
영심아tv청솔	5	2019-11-15	0	.음식맛이너무좋았고... 진짜맛있어요 따끈따끈하게 배달해 주셨네요	36
ey c	5	2020-03-25	3	헉 저도 v50인데 배달에민족 어플이 처음화면만 나오고 넘어가지않습니다... ㅠ 아래 리뷰보니 브이오십에 전체적 오류인지 ㅜ어떻게 하면될가요	78
혜가태짱	5	2019-10-13	0	5천 할인권까지ㅎㅎ 정말 감사드립니다. 처음 사용해봤는데 앞으로도 많이 이용할께요	45
이현철	5	2019-09-07	0	쪼아쪼아..배달의민족 제안하고 싶은게 있다면 식당이 아니라 메뉴 맛집 검색이 있으면 좋겠네요!	52
김선진	5	2020-08-21	2	배민 넘 잘쓰고 있음. 믿고 주문할 수 있음. UI 별 다섯개 시스템안정성 별 다섯개	47
김지혜	5	2018-12-31	0	첨 썼는데 보기편해서 좋아요 단지 메뉴 사진들이 보강되었음 합니다	36
DH	5	2019-08-17	0	배달도 너무 친절하시고, 주말에 배달 시킬때 너무 편리하네요^^ 감사합니다!	42
김뽀짝	5	2019-04-25	0	매번 지웠다가 다시 설치하게 되는 마성의 앱.. 나약한 나 정신차려..????	43
paraN Yun	5	2019-05-20	0	주문하고 리뷰 쓰는것이 참 재미있네요^^	22
최효정	5	2018-10-18	0	잘쓰고있어요 쿠폰은 미리 알았음 첫주문때 썻을텐데 아깝네용	32
게일슐러	5	2019-05-01	0	이벤트도 있고 할인 쿠폰도 있고 좋습니다. 더욱 많은 이벤트를 만들어주세요	41
손철희	5	2019-01-21	0	나가기 귀찮을때 핸드폰으로 주문에서 결제까지 편리하네요	30
kim minhoan	5	2019-03-01	0	배달책 안봐도 되서 편해요	14
이영록	5	2019-04-28	0	항상 배달의민족만 써서 시켜먹어요^^♡	21
juyeun park	5	2019-03-22	1	도착 예상시간 50분 띄우고 35분만에 도착하는 쎈~쑤	30
최정인	5	2019-06-21	0	우선 편리하고 좋아요	11
정인해	5	2019-07-15	0	맛있게잘먹었습니다 종종시켜먹어야겠어여~~^^	24
jjoo	5	2018-11-11	0	검색 기능이 생겼음 좋겠어요	15
준발나	5	2019-06-11	0	정말 편리하고 좋아요. 배달책자가 필요없어졌어요	26
조서현	5	2019-07-25	0	다양한 메뉴에 실제리뷰가 도움이되서 실패율이 제로네요 넘 좋아요	35
임공주맘	5	2019-09-18	0	배송 음식 다 만족입니다	13
유희진	5	2019-08-09	0	너무좋아요 전화로시키는것과 너무차이가많이 나네요 자주이용한답니다	35
김지호	5	2019-02-17	0	현재는...너무 만족합니다~ 써보니 정말 신통방통하군요!	31
김한나	5	2019-04-05	1	배달의 민족 자체는 만족스럽습니다. 배달료를 받으면 1인분도 배달 되는 세상이 오기를☆	48
오필환	5	2019-03-30	0	사용아 간편하고 다양한 결제수단으로 편리해요	24
SSDw SSD	5	2020-03-12	0	잘 쓰고 있습니다. 그런데 아마존 올뉴 파이어 hd10 2019 에선 호환이 안 되네요. 호환 가능한지요?	59
김가람	5	2018-12-20	0	이렇게넘편하고좋은앱처음이네요,편리하게잘이용하네요^^~	29
이승하	5	2019-05-13	0	첫주문 고객 1만원 쿠폰으로 시켜먹어 봤는데 정말 좋은 어플인 거 같습니다!!	43
정준우	5	2019-04-09	0	기숙사 사는데 정말 편리함. 2~3명이서 야식 먹는데 이렇게 편할수가 없음	41
양은정	5	2019-01-13	0	배달 만족합니다. 음식점 구성도 좋습니다~	23
몰라	5	2019-09-02	3	다른 배달앱들보다 제일 많이 쓰고있을만큼 유용하고 이벤트도 매우 만족하고 있습니다	45
이유진	5	2019-05-30	0	사용이 간편하고 가입하면 쿠폰까지 주셔서 아주 좋네요.	30
이정 민	5	2019-06-07	0	쿠폰할인 되는 것도 좋고 이제까지 주문한 곳운 만족했습니다.	33
